Date,Open,High,Low,Close,Volume
2022-06-10 20:00:00,137.4000,137.4200,137.3500,137.3700,11290
2022-06-10 19:55:00,137.3600,137.4800,137.3500,137.3800,7386
2022-06-10 19:50:00,137.4000,137.4000,137.3700,137.3700,3040
2022-06-10 19:45:00,137.4700,137.4700,137.3800,137.3900,6009
2022-06-10 19:40:00,137.4100,137.5000,137.4000,137.4800,3570
2022-06-10 19:35:00,137.4000,137.4200,137.3700,137.4200,4157
2022-06-10 19:30:00,137.3800,137.4000,137.3600,137.3800,1995
2022-06-10 19:25:00,137.3900,137.4000,137.3500,137.3500,6327
2022-06-10 19:20:00,137.2900,137.3900,137.2900,137.3500,3391
2022-06-10 19:15:00,137.3000,137.3000,137.2900,137.2900,4081
2022-06-10 19:10:00,137.3500,137.3500,137.3300,137.3300,2960
2022-06-10 19:05:00,137.3500,137.3600,137.3000,137.3500,4468
2022-06-10 19:00:00,137.3300,137.3500,137.3000,137.3500,6377
2022-06-10 18:55:00,137.3900,137.3900,137.3400,137.3500,2629
2022-06-10 18:50:00,137.3500,137.3700,137.3500,137.3700,2423
2022-06-10 18:45:00,137.3900,137.4000,137.3500,137.3600,11413
2022-06-10 18:40:00,137.4000,137.4000,137.3200,137.3900,24715
2022-06-10 18:35:00,137.2899,137.3200,137.2800,137.3200,9810
2022-06-10 18:30:00,137.2500,137.2700,137.2500,137.2500,1448
2022-06-10 18:25:00,137.3000,137.3000,137.2700,137.2700,3469
2022-06-10 18:20:00,137.2800,137.3000,137.2700,137.3000,3233
2022-06-10 18:15:00,137.2600,137.2800,137.2600,137.2800,1236
2022-06-10 18:10:00,137.2600,137.2700,137.2600,137.2600,1071
2022-06-10 18:05:00,137.3000,137.3000,137.2600,137.2800,4291
2022-06-10 18:00:00,137.3300,137.3300,137.2800,137.2800,3825
2022-06-10 17:55:00,137.3000,137.3000,137.2600,137.3000,2420
2022-06-10 17:50:00,137.1500,137.2500,137.1500,137.2500,3150
2022-06-10 17:45:00,137.2200,137.2500,137.1300,137.2000,19817
2022-06-10 17:40:00,137.2500,137.3000,137.2300,137.2500,4468
2022-06-10 17:35:00,137.3000,137.3000,137.2500,137.2500,5310
2022-06-10 17:30:00,137.3000,137.3000,137.2600,137.2900,6035
2022-06-10 17:25:00,137.2600,137.3000,137.2600,137.3000,1209
2022-06-10 17:20:00,137.1800,137.3100,137.1600,137.3100,3500
2022-06-10 17:15:00,137.2500,137.3100,137.2000,137.2500,8077
2022-06-10 17:10:00,137.2600,137.3100,137.2500,137.3000,7493
2022-06-10 17:05:00,137.3500,137.3700,137.1300,137.2600,99210
2022-06-10 17:00:00,137.3900,137.4100,137.3400,137.3700,8761
2022-06-10 16:55:00,137.4200,137.4200,137.3100,137.3100,5152
2022-06-10 16:50:00,137.3600,137.4500,137.3600,137.4400,6989
2022-06-10 16:45:00,137.4400,137.4400,137.3500,137.3899,7114
